Tissue,Cell_Type,Kras_mean_all,Kras_mean_male,Kras_mean_female,Cell_count_all,Cell_count_male,Cell_count_female
Aorta,fibroblast,0.6937226057052612,0.6937226057052612,,70,70.0,
Aorta,endothelial cell,0.8315521478652954,0.7707081437110901,0.9552032351493835,188,126.0,62.0
Aorta,erythrocyte,0.021746087819337845,0.0010896511375904083,0.07941196858882904,91,67.0,24.0
Aorta,professional antigen presenting cell,0.6068137288093567,0.682063102722168,0.18876135349273682,59,50.0,9.0
Bladder,bladder urothelial cell,0.5580675005912781,0.5172612071037292,0.6462929248809814,683,467.0,216.0
Bladder,bladder cell,0.4650086462497711,0.47177091240882874,0.44475969672203064,695,521.0,174.0
Brain_Myeloid,microglial cell,0.5168645977973938,0.43610677123069763,0.59843510389328,4394,2208.0,2186.0
Brain_Myeloid,macrophage,0.5077641606330872,0.5837688446044922,0.3397541344165802,61,42.0,19.0
Brain_Non-Myeloid,endothelial cell,1.358710527420044,1.2933741807937622,1.4817429780960083,715,467.0,248.0
Brain_Non-Myeloid,astrocyte,0.35548844933509827,0.3780994415283203,0.2707597315311432,432,341.0,91.0
Brain_Non-Myeloid,oligodendrocyte,0.35816043615341187,0.3347160518169403,0.47999802231788635,1574,1320.0,254.0
Brain_Non-Myeloid,brain pericyte,0.248418390750885,0.2405981719493866,0.2841681241989136,156,128.0,28.0
Brain_Non-Myeloid,oligodendrocyte precursor cell,0.552981436252594,0.5912291407585144,0.4063659906387329,203,161.0,42.0
Brain_Non-Myeloid,neuron,0.9570161700248718,0.9544247388839722,0.9746549725532532,281,245.0,36.0
Brain_Non-Myeloid,Bergmann glial cell,0.5088235139846802,0.4898955821990967,0.584535539150238,40,32.0,8.0
Diaphragm,skeletal muscle satellite stem cell,0.8405141830444336,0.8967310786247253,0.780865490436554,439,226.0,213.0
Diaphragm,endothelial cell,1.1419559717178345,1.255091667175293,0.9793239235877991,78,46.0,32.0
Diaphragm,mesenchymal stem cell,0.7225181460380554,0.776027500629425,0.6752789616584778,241,113.0,128.0
Diaphragm,macrophage,1.0441101789474487,1.3015004396438599,0.6365758776664734,31,19.0,12.0
Diaphragm,lymphocyte,3.6546218395233154,3.018406629562378,4.37454891204834,81,43.0,38.0
Fat,mesenchymal stem cell of adipose,0.4671350419521332,0.4491879343986511,0.49191588163375854,2107,1222.0,885.0
Fat,endothelial cell,0.9027705192565918,0.9707123041152954,0.7605962753295898,668,452.0,216.0
Fat,myeloid cell,0.897701621055603,1.0275421142578125,0.7712857127189636,1123,554.0,569.0
Fat,nan,0.5397435426712036,0.4319153428077698,0.6093100905418396,102,40.0,62.0
Fat,natural killer cell,0.7091045379638672,0.44620081782341003,0.8695201873779297,95,36.0,59.0
Fat,B cell,2.17533278465271,1.797950029373169,2.6385579109191895,519,286.0,233.0
Fat,T cell,1.2739723920822144,0.98258376121521,1.8256999254226685,353,231.0,122.0
Heart,leukocyte,0.8308089971542358,0.8493788838386536,0.7987943291664124,523,331.0,192.0
Heart,endocardial cell,0.46112310886383057,0.31806281208992004,0.521553635597229,165,49.0,116.0
Heart,nan,0.16813698410987854,0.29334762692451477,0.0011894498020410538,28,16.0,12.0
Heart,myofibroblast cell,0.7071588635444641,0.6859167218208313,0.7646898031234741,178,130.0,48.0
Heart,endothelial cell,1.1741353273391724,1.1338262557983398,1.2063711881637573,1177,523.0,654.0
Heart,fibroblast,0.7452390789985657,0.7775653600692749,0.7269754409790039,2119,765.0,1354.0
Heart,smooth muscle cell,0.5725653767585754,0.27165019512176514,0.8461246490478516,42,20.0,22.0
Heart,cardiac muscle cell,0.2191733717918396,0.30966994166374207,0.14702075719833374,133,59.0,74.0
Kidney,kidney collecting duct epithelial cell,0.3069148361682892,0.2641987204551697,0.36968138813972473,121,72.0,49.0
Kidney,leukocyte,1.1888339519500732,0.48194169998168945,1.8957263231277466,16,8.0,8.0
Kidney,macrophage,0.8134537935256958,0.7627686858177185,0.9711408615112305,37,28.0,9.0
Kidney,endothelial cell,0.4944063425064087,0.6447476148605347,0.3487631678581238,126,62.0,64.0
Kidney,epithelial cell of proximal tubule,0.3677235245704651,0.41655999422073364,0.249447762966156,219,155.0,64.0
Large_Intestine,large intestine goblet cell,0.4807124435901642,0.4336218535900116,0.5127073526382446,833,337.0,496.0
Large_Intestine,Brush cell of epithelium proper of large intestine,0.17998170852661133,0.218049556016922,0.15143075585365295,63,27.0,36.0
Large_Intestine,epithelial cell of large intestine,0.6085217595100403,0.6022822260856628,0.6153915524482727,2019,1058.0,961.0
Large_Intestine,enterocyte of epithelium of large intestine,0.9475113153457642,0.8777369856834412,1.0352603197097778,964,537.0,427.0
Large_Intestine,enteroendocrine cell,0.45105522871017456,0.40022239089012146,0.5001936554908752,59,29.0,30.0
Limb_Muscle,mesenchymal stem cell,0.6733877062797546,0.6669833660125732,0.6798918843269348,258,130.0,128.0
Limb_Muscle,B cell,2.6048805713653564,2.2101752758026123,4.211894989013672,71,57.0,14.0
Limb_Muscle,T cell,1.6718171834945679,1.5486650466918945,2.267052173614502,35,29.0,6.0
Limb_Muscle,macrophage,2.0268285274505615,3.012632131576538,1.6683541536331177,45,12.0,33.0
Limb_Muscle,endothelial cell,1.4754383563995361,1.2120518684387207,1.8015360832214355,141,78.0,63.0
Limb_Muscle,skeletal muscle satellite cell,0.6809231042861938,0.6946922540664673,0.6676549315452576,540,265.0,275.0
Liver,Kupffer cell,0.9076923727989197,0.9076923727989197,,61,61.0,
Liver,B cell,1.2986727952957153,1.2986727952957153,,41,41.0,
Liver,hepatocyte,0.11246713250875473,0.13373762369155884,0.0820806473493576,391,230.0,161.0
Liver,endothelial cell of hepatic sinusoid,0.7535478472709656,0.7535478472709656,,182,182.0,
Liver,natural killer cell,0.8218404054641724,0.8218404054641724,,39,39.0,
Lung,myeloid cell,0.41034218668937683,0.0653681755065918,0.4365427792072296,85,6.0,79.0
