data,dataset_id,gencode_id,gene_symbol,tissue_site_detail_id,unit
17.12,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.52,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.08,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.81,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.43,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.89,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.63,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.99,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.32,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.99,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.92,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.94,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.83,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.94,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.44,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.96,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.47,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.99,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.669,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.51,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.94,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.82,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.42,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.59,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.75,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.73,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.49,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.53,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.52,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.144,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.02,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.0,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.45,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.92,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.9,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.29,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.9,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.01,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.2,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.63,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.38,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.18,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.58,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.53,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.98,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.71,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.3,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.65,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.91,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.56,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.51,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.93,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.59,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.02,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.96,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.36,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.83,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.72,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.76,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.96,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.61,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
20.32,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.78,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.41,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.07,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.97,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.38,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.41,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.01,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.38,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.8,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.68,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.45,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.78,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
25.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
9.081,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.6,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.96,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.31,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.23,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
12.67,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.57,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.75,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
21.92,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.55,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.69,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.39,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.76,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.41,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.44,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.6,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.47,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.34,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.8,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.64,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.5,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.94,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.02,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.78,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
11.07,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.43,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.88,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.16,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.35,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.83,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.22,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.47,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.92,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.19,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
10.95,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.74,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.14,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.01,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.77,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.04,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.5,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.79,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.65,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.62,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.32,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
19.05,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
18.54,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.58,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.9,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
13.55,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
17.82,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
14.1,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
15.82,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
16.85,gtex_v8,ENSG00000133703.11,KRAS,Thyroid,TPM
